"","poem1.txt","poem10.txt","poem11.txt","poem12.txt","poem13.txt","poem14.txt","poem15.txt","poem16.txt","poem17.txt","poem18.txt","poem19.txt","poem2.txt","poem20.txt","poem21.txt","poem22.txt","poem23.txt","poem24.txt","poem25.txt","poem26.txt","poem27.txt","poem28.txt","poem29.txt","poem3.txt","poem30.txt","poem31.txt","poem32.txt","poem33.txt","poem34.txt","poem35.txt","poem36.txt","poem37.txt","poem38.txt","poem39.txt","poem4.txt","poem40.txt","poem41.txt","poem42.txt","poem43.txt","poem44.txt","poem45.txt","poem46.txt","poem47.txt","poem48.txt","poem49.txt","poem5.txt","poem50.txt","poem51.txt","poem52.txt","poem53.txt","poem54.txt","poem55.txt","poem56.txt","poem57.txt","poem58.txt","poem59.txt","poem6.txt","poem60.txt","poem61.txt","poem62.txt","poem63.txt","poem64.txt","poem65.txt","poem66.txt","poem67.txt","poem68.txt","poem7.txt","poem8.txt","poem9.txt"
"black",0.494697960120872,0.392632826857658,0.187834548877901,-0.255953442907473,0.0265809995360503,0.459163886830207,-0.0289582679166686,-0.0123663953219867,0.0911096787234877,0.119495842744855,-0.0230208189578446,0.267348059503002,-0.0151778089780845,0.189848593472443,-0.338454678028852,1.32477616182805,0.00870087972172869,0.355821139101683,0.162584266759929,0.142068981574199,1.20042660824961,0.58031886505581,0.200309008289808,0.497239141543624,0.311956532498663,0.758991041221264,-0.0244030973105092,0.181576871494505,0.0431004684669837,-0.283672885455821,-0.0404523805088653,-0.21882220742012,0.0913157444236381,-0.053692831165081,-0.0287454943290009,0.16488001214783,0.099513003652999,-0.0261935097370559,0.0812692839803573,-0.0804182480882697,0.207050256893287,-0.112031108764822,-0.081410913947205,1.00980971247227,0.452600625860404,0.0195436859167814,-0.329257888091056,0.0133435022332549,-0.0407780760318332,0.0381976239818581,0.210110691143989,-0.167053305290417,-0.0135979617754316,0.0169135870187252,0.160207163006896,0.031233518212376,-0.110042747268435,0.049463339663945,0.0646051518520654,0.0300778893078415,0.317212518536732,-0.106498165408297,0.00610183584427275,1.07112006035669,1.09911720742758,0.0249348919089259,0.121625634076195,0.151490765769088
"came",0.512793862919637,0.226132331439552,-0.0217823701231421,0.0474649920997048,-0.0148647978569085,0.501238203306233,0.0203341839793291,-0.00776169150803966,0.270518799718955,0.306177858751767,0.445744884107135,0.379819136858291,0.238792818135319,0.965453964444387,-0.104606393990637,0.366422218922291,-0.0250735245724365,1.17208183135537,0.0264100114053855,0.367518970922873,-0.069952033194714,0.430808047562499,-0.131415108032324,-0.221383434070036,0.553034005217331,0.950940195952368,0.135301207139257,0.195971181096009,0.223666897124337,-0.441029783761983,-0.0635316698192252,-0.0651383645165647,-0.086733611458547,-0.0355451916183581,0.0987130004556944,0.169470589228979,0.103400754178888,2.06130479290832,-0.0214449339181384,0.0317383062385157,-0.114363731395842,0.0384387263829355,0.0111288689917687,1.08034670915979,1.21991641648578,-0.0507197168525117,0.0839853179969808,0.0208043824742843,0.0433428828271378,0.0454524901048886,-0.146084323752733,0.0138191473046444,-0.0230175666647726,0.111719763737062,0.265645894242142,0.0804858174350088,0.104814534193995,0.247627178816257,0.046340855484478,0.0502371796443759,-0.132795142274697,0.00305042774432952,-0.00444601206853655,1.23301916968947,0.255055010466517,-0.116966006591918,-0.104001744579075,0.0652654479731392
"clang",0.1231086220433,0.012308379917709,-0.0073902653436916,0.0136222915147479,-0.0273896055014449,0.0837578291960193,-0.00693542403621988,-0.0109001120653397,0.0462112836817496,0.0179553036136694,-0.0599698969911699,-0.0209880385044382,-0.000217702975452344,0.0602718458503326,-0.105039785883098,0.108409480275674,-0.0422987612618515,0.0548937270671432,0.0127683357947359,0.128889246551359,0.0631504341621032,0.0595980425446103,0.0135778833632035,0.0434534330430894,0.105734248213132,0.131341515175383,0.0648981509553658,-0.0268954071865987,-0.0210359145736895,-0.0259629974740459,-0.0135137808845003,-0.0427659276486177,-0.0489542014611085,-0.00813948255047068,-0.0233761180480237,0.0196460370307964,-0.0208899242816604,0.0367768611995059,0.00476191028230427,-0.0167403760691783,0.0164709317515096,-0.0234899830398663,-0.0183943814518031,0.00766311254782534,0.0513399601153119,0.0179446087375823,-0.106907565465401,-0.0264888021973657,0.0438232116098917,-0.0202897329737453,-0.0757839629495506,-0.0194714726447376,0.00947587906843679,-0.000486643597700788,0.014889105783365,0.0538415829489805,-0.073109591388286,0.0872459411504808,0.00728547144106716,-0.0229394158684503,0.031530468722678,-0.0198662589194761,-0.00298944819452996,0.270018598178855,0.00674132014122934,-0.0201276190264594,-0.0166517120817899,0.0103463852676872
"clash",0.164987536641309,0.028730578890707,-0.00227619084507702,-0.0447639263067256,-0.043409562947678,0.160102762778775,-0.00434716158224712,-0.0170284241385277,0.0780037103506709,0.0658428449175488,-0.0776416242512367,-0.0231976340241673,0.00562104522212775,0.0437838797977132,-0.137723909967395,0.163174800575167,-0.0524266347075362,0.143274428657432,0.0122569866182632,0.130222285883349,0.0782091648430282,0.117140839023926,0.0262157268760604,0.0538668629630876,0.150372613080455,0.189925260851641,0.127243311920634,-0.0199378215050009,-0.0425116204026002,-0.0807586618990233,-0.0295431906756725,-0.0537410929071155,-0.0499652834923969,-0.00154696615221842,-0.0403858630797272,0.0324992780985274,-0.0149203512287278,0.032322069010082,0.00120260458710611,-0.0202716724344363,0.0282794056052317,-0.0244695022684392,-0.0265790469903064,0.00643349028891131,0.116274806838779,0.0131599344432673,-0.144643318188727,-0.0502728315793514,0.0491967628420861,-0.00791088282609147,-0.0894016662726481,-0.0166011090902718,-0.00506628635104759,0.105675270345185,0.031782742086944,0.0929346370874248,-0.0514746345903641,0.0475922844511259,-0.0017886936840949,-0.0282777650789254,0.0452905515942814,-0.0404794066049848,-0.00632385125737286,0.356560873774261,-0.0116630432578839,-0.0243780839715039,-0.018136132286286,0.0332620941861483
"hair",0.0615543110216501,0.00615418995885458,-0.0036951326718455,0.00681114575737496,-0.0136948027507225,0.0418789145980096,-0.00346771201810997,-0.00545005603266977,0.0231056418408745,0.00897765180683394,-0.0299849484955853,-0.0104940192522185,-0.000108851487726516,0.0301359229251669,-0.0525198929415487,0.0542047401378375,-0.021149380630926,0.027446863533572,0.00638416789736797,0.0644446232756795,0.0315752170810511,0.0297990212723052,0.00678894168160152,0.0217267165215449,0.0528671241065664,0.0656707575876912,0.0324490754776821,-0.0134477035932987,-0.0105179572868453,-0.0129814987370226,-0.00675689044225024,-0.0213829638243089,-0.0244771007305544,-0.00406974127523525,-0.0116880590240123,0.00982301851539807,-0.0104449621408303,0.0183884305997525,0.00238095514115221,-0.00837018803458903,0.00823546587575502,-0.0117449915199333,-0.00919719072590204,0.00383155627391042,0.0256699800576555,0.00897230436879122,-0.053453782732701,-0.0132444010986828,0.0219116058049475,-0.0101448664868732,-0.0378919814747754,-0.00973573632236885,0.00473793953421862,-0.000243321798849517,0.00744455289168234,0.026920791474492,-0.0365547956941437,0.0436229705752404,0.00364273572053326,-0.0114697079342251,0.0157652343613391,-0.00993312945973776,-0.00149472409726497,0.135009299089427,0.00337066007061502,-0.0100638095132296,-0.00832585604089518,0.00517319263384358
"heel",0.0615543110216501,0.00615418995885481,-0.00369513267184525,0.00681114575737395,-0.0136948027507224,0.0418789145980097,-0.00346771201810987,-0.0054500560326699,0.0231056418408744,0.00897765180683483,-0.0299849484955844,-0.0104940192522194,-0.000108851487726083,0.0301359229251669,-0.0525198929415494,0.0542047401378373,-0.0211493806309259,0.0274468635335719,0.00638416789736802,0.0644446232756794,0.0315752170810514,0.0297990212723051,0.00678894168160134,0.0217267165215446,0.0528671241065659,0.0656707575876916,0.0324490754776826,-0.013447703593299,-0.0105179572868448,-0.0129814987370229,-0.00675689044225002,-0.0213829638243079,-0.0244771007305541,-0.00406974127523539,-0.0116880590240119,0.00982301851539819,-0.01044496214083,0.0183884305997524,0.00238095514115211,-0.00837018803458925,0.00823546587575436,-0.0117449915199333,-0.00919719072590164,0.00383155627391441,0.0256699800576561,0.00897230436879118,-0.0534537827326999,-0.0132444010986826,0.0219116058049459,-0.0101448664868731,-0.0378919814747753,-0.00973573632236883,0.00473793953421842,-0.000243321798849786,0.00744455289168252,0.0269207914744897,-0.0365547956941444,0.0436229705752397,0.00364273572053324,-0.0114697079342251,0.0157652343613396,-0.00993312945973812,-0.00149472409726493,0.135009299089428,0.0033706600706168,-0.0100638095132297,-0.00832585604089499,0.00517319263384354
"hoof",0.0615543110216498,0.00615418995885443,-0.00369513267184554,0.00681114575737375,-0.0136948027507225,0.0418789145980094,-0.00346771201811022,-0.00545005603266995,0.0231056418408745,0.00897765180683401,-0.0299849484955848,-0.010494019252219,-0.000108851487726237,0.0301359229251668,-0.052519892941549,0.0542047401378371,-0.0211493806309258,0.0274468635335712,0.00638416789736803,0.0644446232756795,0.0315752170810516,0.0297990212723049,0.00678894168160105,0.0217267165215443,0.0528671241065656,0.0656707575876914,0.0324490754776821,-0.0134477035932996,-0.0105179572868449,-0.012981498737023,-0.00675689044225014,-0.0213829638243096,-0.0244771007305542,-0.00406974127523535,-0.0116880590240118,0.00982301851539811,-0.0104449621408302,0.0183884305997531,0.00238095514115211,-0.00837018803458929,0.00823546587575436,-0.0117449915199333,-0.00919719072590161,0.00383155627391293,0.0256699800576558,0.00897230436879105,-0.0534537827327003,-0.0132444010986825,0.0219116058049462,-0.0101448664868727,-0.037891981474775,-0.00973573632236872,0.00473793953421822,-0.000243321798850105,0.00744455289168238,0.0269207914744899,-0.0365547956941445,0.043622970575239,0.00364273572053324,-0.011469707934225,0.015765234361339,-0.00993312945973801,-0.00149472409726495,0.135009299089427,0.00337066007061451,-0.0100638095132301,-0.00832585604089517,0.00517319263384342
"ride",0.0615543110216503,0.00615418995885467,-0.00369513267184546,0.0068111457573744,-0.0136948027507224,0.0418789145980095,-0.00346771201810999,-0.00545005603266988,0.0231056418408744,0.0089776518068346,-0.0299849484955847,-0.0104940192522194,-0.000108851487726035,0.0301359229251667,-0.0525198929415493,0.0542047401378373,-0.0211493806309259,0.0274468635335714,0.0063841678973681,0.0644446232756797,0.0315752170810513,0.0297990212723049,0.00678894168160149,0.0217267165215448,0.0528671241065659,0.0656707575876916,0.0324490754776829,-0.0134477035932995,-0.010517957286845,-0.0129814987370229,-0.00675689044225005,-0.0213829638243084,-0.0244771007305542,-0.00406974127523532,-0.0116880590240119,0.00982301851539817,-0.0104449621408302,0.018388430599753,0.0023809551411523,-0.00837018803458925,0.00823546587575452,-0.0117449915199333,-0.00919719072590162,0.00383155627391368,0.0256699800576559,0.00897230436879139,-0.0534537827327003,-0.0132444010986823,0.021911605804948,-0.0101448664868729,-0.0378919814747752,-0.00973573632236869,0.00473793953421862,-0.000243321798850287,0.00744455289168241,0.0269207914744898,-0.0365547956941449,0.0436229705752407,0.00364273572053337,-0.011469707934225,0.01576523436134,-0.00993312945973808,-0.00149472409726492,0.135009299089428,0.00337066007061527,-0.0100638095132298,-0.00832585604089497,0.0051731926338435
"rider",0.0615543110216499,0.00615418995885442,-0.00369513267184518,0.00681114575737368,-0.0136948027507225,0.0418789145980095,-0.00346771201811007,-0.00545005603266991,0.0231056418408747,0.00897765180683416,-0.029984948495585,-0.0104940192522194,-0.00010885148772608,0.030135922925167,-0.0525198929415494,0.0542047401378369,-0.0211493806309259,0.0274468635335712,0.00638416789736804,0.0644446232756803,0.0315752170810511,0.0297990212723049,0.00678894168160111,0.0217267165215443,0.0528671241065657,0.0656707575876914,0.0324490754776831,-0.0134477035932996,-0.010517957286845,-0.0129814987370225,-0.00675689044225001,-0.0213829638243085,-0.0244771007305545,-0.00406974127523539,-0.0116880590240117,0.0098230185153981,-0.0104449621408301,0.0183884305997525,0.00238095514115209,-0.00837018803458929,0.00823546587575415,-0.0117449915199333,-0.00919719072590164,0.00383155627391333,0.025669980057656,0.00897230436879117,-0.0534537827327001,-0.0132444010986824,0.021911605804946,-0.0101448664868729,-0.0378919814747755,-0.00973573632236873,0.00473793953421838,-0.000243321798849667,0.00744455289168242,0.0269207914744895,-0.0365547956941443,0.0436229705752387,0.00364273572053308,-0.0114697079342251,0.0157652343613398,-0.00993312945973804,-0.00149472409726494,0.135009299089427,0.00337066007061491,-0.01006380951323,-0.00832585604089516,0.00517319263384347
"rush",0.125998934297329,-0.0400006706264758,0.116283567352273,0.00980144041219388,-0.0240209951805024,0.0432119539299987,0.00916566517030358,-0.00961924433391328,0.20969341693254,0.0223037564607024,-0.0129740700628253,-0.055124013828722,0.04246178073142,0.0382279100248855,-0.0985591283059722,0.0244117488639895,-0.0281641208454577,0.0629070494002871,0.021316624783303,0.770621856012415,0.0444017290139826,0.0262553757478596,0.0234188373096097,-0.0427650377185579,0.119917129683301,0.20052618074375,-0.000266536875800676,-0.0985332914155736,-0.068142838570023,0.239088325924878,-0.00245321041543392,-0.0812028709040049,-0.119432330310671,-0.0266777342892564,-0.0215591539978809,0.0280099080331539,0.0300850228923068,0.0174402625850806,-0.0016543183482425,-0.0203655746623539,-0.023002837270801,0.0080461381624382,0.0572021772365956,-0.0091418988669129,-0.0066447735569106,-0.0101305337164932,-0.0459155559554704,-0.0156201064099499,0.0489587022213962,-0.0154269703593042,-0.00928866973276735,-0.00660656641604338,0.000565638483641266,-0.0355849879949877,0.0569907237733497,0.0412519185970153,-0.026902317883834,0.0536163878083507,0.00813354396878885,-0.0286702542449352,0.0805705733932226,0.0179525290709894,0.00182660263470613,0.1109393149867,0.0287618009675056,-0.0510225600212699,-0.0656546958468353,-0.0146552499407134
